condition,size,time
adPrimal,700,0.006143599
adPrimal,700,0.006748371
adPrimal,700,0.007508113
adPrimal,700,0.005854846
adPrimal,700,0.007171566
adPrimal,700,0.005418919
adPrimal,700,0.005466489
adPrimal,700,0.008125038
adPrimal,700,0.007155172
adPrimal,700,0.008609602
adPrimal,700,0.008345136
adPrimal,700,0.00879398
adPrimal,700,0.0083175
adPrimal,800,0.01087011
adPrimal,800,0.014154306
adPrimal,800,0.01423532
adPrimal,800,0.013868184
adPrimal,800,0.006123194
adPrimal,800,0.006038772
adPrimal,800,0.006179299
adPrimal,800,0.006176583
adPrimal,800,0.00796692
adPrimal,800,0.00775655
adPrimal,800,0.006123274
adPrimal,800,0.006052563
adPrimal,800,0.006116068
adPrimal,800,0.006122715
adPrimal,800,0.007283751
adPrimal,800,0.00591485
adPrimal,800,0.005781686
adPrimal,800,0.00607205
adPrimal,800,0.005912137
adPrimal,800,0.006103785
adPrimal,900,0.006967572
adPrimal,900,0.007032774
adPrimal,900,0.00674092
adPrimal,900,0.00712897
adPrimal,900,0.00837229
adPrimal,900,0.007452254
adPrimal,900,0.008560365
adPrimal,900,0.007244261
adPrimal,900,0.006693023
adPrimal,900,0.006879404
adPrimal,900,0.006810618
adPrimal,900,0.006898462
adPrimal,900,0.006782971
adPrimal,900,0.006920856
adPrimal,900,0.008310502
adPrimal,900,0.007076855
adPrimal,900,0.007226105
adPrimal,900,0.007257759
adPrimal,900,0.007228383
adPrimal,900,0.00710425
adPrimal,1000,0.008045348
adPrimal,1000,0.007982267
adPrimal,1000,0.007905791
adPrimal,1000,0.007940753
adPrimal,1000,0.009974947
adPrimal,1000,0.008641142
adPrimal,1000,0.008416409
adPrimal,1000,0.007985757
adPrimal,1000,0.007854976
adPrimal,1000,0.008037532
adPrimal,1000,0.008089212
adPrimal,1000,0.007904257
adPrimal,1000,0.009163271
adPrimal,1000,0.007763049
adPrimal,1000,0.007807139
adPrimal,1000,0.007732227
adPrimal,1000,0.008034352
adPrimal,1000,0.007959403
adPrimal,1000,0.007946398
adPrimal,1000,0.00792009
adDual,100,0.008029325
adDual,100,0.007379204
adDual,100,0.011770981
adDual,100,0.006830648
adDual,100,0.009900985
adDual,100,0.007395259
adDual,100,0.00675873
adDual,100,0.008427241
adDual,100,0.008613537
adDual,100,0.00676321
adDual,100,0.0065531
adDual,100,0.006697136
adDual,100,0.00808093
adDual,100,0.009065457
adDual,100,0.009147951
adDual,100,0.01065918
adDual,100,0.017516957
adDual,100,0.010252969
adDual,100,0.01114907
adDual,100,0.011020382
adDual,200,0.022846446
adDual,200,0.027071464
adDual,200,0.023516346
adDual,200,0.026693829
adDual,200,0.016866599
adDual,200,0.013374479
adDual,200,0.013281782
adDual,200,0.013171814
adDual,200,0.01371678
adDual,200,0.01323761
adDual,200,0.019075125
adDual,200,0.013277945
adDual,200,0.013434075
adDual,200,0.013421285
adDual,200,0.013237157
adDual,200,0.013406776
adDual,200,0.021014989
adDual,200,0.013074497
adDual,200,0.013376054
adDual,200,0.013086166
adDual,300,0.020062618
adDual,300,0.029681974
adDual,300,0.023826513
adDual,300,0.02386838
adDual,300,0.020095075
adDual,300,0.031794216
adDual,300,0.020082455
adDual,300,0.020098415
adDual,300,0.022303605
adDual,300,0.021893866
adDual,300,0.027961274
adDual,300,0.019842556
adDual,300,0.019846136
adDual,300,0.024875485
adDual,300,0.029156422
adDual,300,0.020162157
adDual,300,0.01994923
adDual,300,0.023521019
adDual,300,0.028919912
adDual,300,0.022811524
adDual,400,0.027787127
adDual,400,0.037757279
adDual,400,0.030654143
adDual,400,0.026391009
adDual,400,0.040577886
adDual,400,0.026606866
adDual,400,0.030559015
adDual,400,0.036928431
adDual,400,0.028603182
adDual,400,0.030670482
adDual,400,0.037028214
adDual,400,0.026411762
adDual,400,0.026905716
adDual,400,0.053150457
adDual,400,0.043575251
adDual,400,0.057431414
adDual,400,0.071293322
adDual,400,0.04181124
adDual,400,0.026073347
adDual,400,0.02618265
adDual,500,0.041373487
adDual,500,0.032496156
adDual,500,0.043703259
adDual,500,0.032605145
adDual,500,0.036886675
adDual,500,0.043994776
adDual,500,0.03533055
adDual,500,0.04338263
adDual,500,0.033357388
adDual,500,0.033137477
adDual,500,0.042441064
adDual,500,0.032828295
adDual,500,0.043335371
adDual,500,0.033089358
adDual,500,0.037120782
adDual,500,0.042428161
adDual,500,0.032815432
adDual,500,0.048608477
adDual,500,0.036749541
adDual,500,0.033198561
adDual,600,0.061450917
adDual,600,0.040374565
adDual,600,0.05545038
adDual,600,0.039452404
adDual,600,0.051845119
adDual,600,0.040108623
adDual,600,0.052235718
adDual,600,0.039883307
adDual,600,0.051770855
adDual,600,0.039883107
adDual,600,0.052433666
adDual,600,0.043977118
adDual,600,0.052788992
adDual,600,0.044150074
adDual,600,0.0534572
adDual,600,0.041138417
adDual,600,0.053699796
adDual,600,0.044133514
adDual,600,0.053541193
adDual,600,0.040416819
adDual,700,0.062721574
adDual,700,0.051224431
adDual,700,0.062330429
adDual,700,0.066366009
adDual,700,0.047741091
adDual,700,0.062140235
adDual,700,0.0505618
adDual,700,0.061526425
adDual,700,0.04657263
adDual,700,0.070119943
adDual,700,0.064538364
adDual,700,0.076326252
adDual,700,0.149343713
adDual,700,0.045895544
adDual,700,0.057101804
adDual,700,0.049805306
adDual,700,0.058690536
adDual,700,0.048412524
adDual,700,0.060678659
adDual,700,0.046200414
adDual,800,0.064832929
adDual,800,0.065971688
adDual,800,0.052886698
adDual,800,0.068457538
adDual,800,0.066526519
adDual,800,0.060578292
adDual,800,0.065146286
adDual,800,0.070176702
adDual,800,0.060525293
adDual,800,0.073158239
adDual,800,0.075312951
adDual,800,0.060268386
adDual,800,0.066222099
adDual,800,0.078822232
adDual,800,0.058387444
adDual,800,0.072337133
adDual,800,0.071402736
adDual,800,0.056723167
adDual,800,0.072459142
adDual,800,0.074143768
adDual,900,0.062964063
adDual,900,0.080024026
adDual,900,0.084344449
